name,causality,variability,unit,kind_hint,depth
simulator[1].datacenter[1].computeBlock[4].allowFlowReversal,4,0,,,3
simulator[1].datacenter[1].computeBlock[4].cabinet[1].allowFlowReversal,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].cdu[1].allowFlowReversal,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].nFlow_inlet_cabinet.nParallel,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].nFlow_outlet_cabinet.nParallel,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.H_flows_a[1],4,4,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.H_flows_b[1],4,4,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.Q_gen,4,0,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.T_start,4,0,K,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.U,4,4,J,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.Ub,4,4,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.V,4,0,m3,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.X_start[1],0,1,1,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.energyDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.g_n,4,0,m/s2,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.h_start,4,1,J/kg,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.m,4,4,kg,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.massDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.mb,4,4,kg/s,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.nPorts_a,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.nPorts_b,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.p_start,4,1,Pa,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.showName,0,1,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.substanceDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.traceDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.use_HeatPort,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.use_T_start,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cabinet.use_TraceMassPort,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.H_flows_a[1],4,4,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.H_flows_b[1],4,4,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.Q_gen,4,0,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.T_start,4,0,K,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.U,4,4,J,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.Ub,4,4,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.V,4,0,m3,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.X_start[1],0,1,1,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.energyDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.g_n,4,0,m/s2,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.h_start,4,1,J/kg,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.m,4,4,kg,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.massDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.mb,4,4,kg/s,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.nPorts_a,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.nPorts_b,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.p_start,4,1,Pa,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.showName,0,1,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.substanceDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.traceDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.use_HeatPort,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.use_T_start,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_inlet_cdu.use_TraceMassPort,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.H_flows_a[1],4,4,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.H_flows_b[1],4,4,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.Q_gen,4,0,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.T_start,4,0,K,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.U,4,4,J,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.Ub,4,4,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.V,4,0,m3,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.X_start[1],0,1,1,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.energyDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.g_n,4,0,m/s2,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.h_start,4,1,J/kg,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.m,4,4,kg,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.massDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.mb,4,4,kg/s,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.nPorts_a,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.nPorts_b,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.p_start,4,1,Pa,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.showName,0,1,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.substanceDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.traceDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.use_HeatPort,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.use_T_start,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cabinet.use_TraceMassPort,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.H_flows_a[1],4,4,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.H_flows_b[1],4,4,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.Q_gen,4,0,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.T_start,4,0,K,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.U,4,4,J,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.Ub,4,4,W,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.V,4,0,m3,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.X_start[1],0,1,1,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.energyDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.g_n,4,0,m/s2,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.h_start,4,1,J/kg,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.m,4,4,kg,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.massDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.mb,4,4,kg/s,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.nPorts_a,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.nPorts_b,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.p_start,4,1,Pa,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.showName,0,1,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.substanceDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.traceDynamics,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.use_HeatPort,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.use_T_start,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].plenum_outlet_cdu.use_TraceMassPort,4,0,,,4
simulator[1].datacenter[1].computeBlock[4].port_a.h_outflow,4,4,J/kg,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_a.m_flow,4,4,kg/s,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_a.p,4,4,Pa,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_a_nominal.T,4,0,K,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_a_nominal.h,4,1,J/kg,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_a_nominal.m_flow,4,2,kg/s,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_a_nominal.p,4,1,Pa,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_a_start.T,4,0,K,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_a_start.h,4,1,J/kg,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_a_start.m_flow,4,2,kg/s,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_a_start.p,4,1,Pa,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_b.h_outflow,4,4,J/kg,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_b.m_flow,4,4,kg/s,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_b.p,4,4,Pa,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_b_nominal.T,4,0,K,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_b_nominal.h,4,1,J/kg,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_b_nominal.m_flow,4,2,kg/s,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_b_nominal.p,4,1,Pa,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_b_start.T,4,0,K,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_b_start.h,4,1,J/kg,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_b_start.m_flow,4,2,kg/s,signal_like,4
simulator[1].datacenter[1].computeBlock[4].port_b_start.p,4,1,Pa,signal_like,4
simulator[1].datacenter[1].computeBlock[4].resistance_inlet_cdu.R,4,2,Pa/(kg/s),param_like,4
simulator[1].datacenter[1].computeBlock[4].resistance_inlet_cdu.dp,4,4,Pa,signal_like,4
simulator[1].datacenter[1].computeBlock[4].resistance_inlet_cdu.dp_display,4,4,,,4
simulator[1].datacenter[1].computeBlock[4].resistance_inlet_cdu.m_flow,4,4,kg/s,signal_like,4
simulator[1].datacenter[1].computeBlock[4].resistance_inlet_cdu.precision,0,1,,,4
simulator[1].datacenter[1].computeBlock[4].resistance_inlet_cdu.showDP,0,1,,,4
simulator[1].datacenter[1].computeBlock[4].resistance_inlet_cdu.showName,0,1,,,4
simulator[1].datacenter[1].computeBlock[4].resistance_outlet_cdu.R,4,2,Pa/(kg/s),param_like,4
simulator[1].datacenter[1].computeBlock[4].resistance_outlet_cdu.dp,4,4,Pa,signal_like,4
simulator[1].datacenter[1].computeBlock[4].resistance_outlet_cdu.dp_display,4,4,,,4
simulator[1].datacenter[1].computeBlock[4].resistance_outlet_cdu.m_flow,4,4,kg/s,signal_like,4
simulator[1].datacenter[1].computeBlock[4].resistance_outlet_cdu.precision,0,1,,,4
simulator[1].datacenter[1].computeBlock[4].resistance_outlet_cdu.showDP,0,1,,,4
simulator[1].datacenter[1].computeBlock[4].resistance_outlet_cdu.showName,0,1,,,4
simulator[1].datacenter[1].computeBlock[4].cabinet[1].boundary_1.Q_flow,0,1,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].boundary_1.Q_flow_ext,4,4,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].boundary_1.showName,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].boundary_2.Q_flow,0,1,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].boundary_2.Q_flow_ext,4,4,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].boundary_2.showName,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].boundary_3.Q_flow,0,1,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].boundary_3.Q_flow_ext,4,4,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].boundary_3.showName,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].controlBus.Valve_Stpt1,4,4,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].controlBus.Valve_Stpt2,4,4,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].controlBus.Valve_Stpt3,4,4,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].controlBus.blade1_power,4,4,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].controlBus.blade2_power,4,4,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].controlBus.blade3_power,4,4,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.Q_gen,4,0,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.T_start,4,0,K,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.U,4,4,J,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.Ub,4,4,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.V,4,1,m3,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.X_start[1],0,1,1,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.energyDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.g_n,4,0,m/s2,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.h_start,4,1,J/kg,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.m,4,4,kg,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.massDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.mb,4,4,kg/s,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.p_start,4,1,Pa,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.showName,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.substanceDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.traceDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.use_HeatPort,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.use_T_start,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.use_TraceMassPort,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.Q_gen,4,0,W,,5
